序号,页面,中文母本,英文,繁体中文,韩文,日语,德语,法语,西班牙语,葡萄牙语,俄语,印尼语,意大利语,泰语,越南语,阿拉伯语,土耳其语
100001,首次注册页面,欢迎加入！\n点击绑定 Habby ID,Welcome! \nClick to bind Habby ID,歡迎加入！ \n點選綁定 Habby ID,환영합니다! \n연동을 클릭하여 Habby ID 에 연동하세요,ようこそ！\nクリックして Habby ID と連携します,"Willkommen! \nKlicke, um deine Habby ID zu verbinden",Bienvenue ! \nCliquez pour lier l'ID Habby,¡Te damos la bienvenida! \nPulsa para enlazar tu Habby ID,Olá! \nClique para vincular a Habby ID,"Приветствуем!\nНажмите, чтобы привязать Habby ID",Selamat datang! \nKlik untuk menautkan ID Habby,Ti diamo il benvenuto! \nFai clic per associare l'ID Habby,ยินดีต้อนรับ! \nคลิกเพื่อเชื่อมโยงกับ Habby ID,Xin chào! \nBấm để liên kết với ID Habby,مرحبًا! \nاضغط لربط معرّف Habby,Hoş geldin! \nOyunu Habby ID ile için tıkla
100003,,绑定,Bind,綁定,연동,連携する,Verbinden,Lier,Enlazar,Vincular,Привязать,Tautkan,Associa,เชื่อมโยง,Liên kết,ربط,Bağla
100004,首次注册/登录输入界面,请输入您的邮箱地址，我们将给您发送验证码,Enter your email address to receive the verification code,請輸入您的郵箱地址，我們將發送驗證碼,이메일을 입력하여 연동 코드를 받으세요,メールアドレスを入力してください連携認証コードを入力のメールアドレスに送信します,"Gib deine E-Mail-Adresse ein, um den Bestätigungscode zu erhalten",Entrez votre adresse e-mail pour recevoir le code de vérification,Escribe tu dirección de correo electrónico para recibir el código de verificación,Insira o seu e-mail para receber o código de verificação,"Введите свой адрес эл почты, чтобы получить код подтверждения",Masukkan alamat email-mu untuk menerima kode verifikasi,Inserisci il tuo indirizzo e-mail per ricevere il codice di verifica,กรอกที่อยู่อีเมลของคุณเพื่อรับรหัสยืนยัน,Nhập địa chỉ email của bạn để nhận mã xác thực,أدخِل عنوان بريدك الإلكتروني كى تتلقى رمز التحقق,Doğrulama kodunu almak için e-posta adresini gir
100036,,在此输入邮箱地址,Please enter your email address,在此輸入郵箱地址,이메일을 입력하세요,メールアドレスを入力してください,Bitte gib deine E-Mail-Adresse ein,Veuillez saisir votre e-mail,Por favor escribe tu correo electrónico,Insira seu e-mail,Введите свой адрес эл почты,Masukkan email-mu,Inserisci la tua e-mail,กรุณากรอกอีเมลของคุณ,Vui lòng nhập email,يُرجى إدخال بريدك الإكتروني,Lütfen e-posta adresini gir
100002,,继续,Continue,繼續,계속,続ける,Weiter,Continuer,Continuar,Continuar,Продолжить,Lanjutkan,Continua,ดำเนินการต่อ,Tiếp tục,متابعة,Devam Et
100006,,取消,Cancel,取消,취소,キャンセル,Abbrechen,Annuler,Cancelar,Cancelar,Отмена,Batal,Annulla,ยกเลิก,Hủy,إلغاء,İptal
100005,,接收来自 Habby 的最新动态,Receive the latest news from Habby,接收 Habby 的最新動態,Habby 의 최신 소식 받기,Habby からのニュースを受け取る,Erhalte aktuellste Updates von Habby,Recevoir les dernières mises à jour de la part de Habby,Recibe noticias y actualizaciones de Habby,Receba as últimas atualizações da Habby,Получайте новости и обновления от Habby,Terima pembaruan terkini dari Habby,Ricevi gli ultimi aggiornamenti da Habby,รับอัปเดตล่าสุดจาก Habby,Nhận tin tức mới nhất từ Habby,احصل على آخر التحديثات من Habby,Habby'den haberleri ve güncellemeleri al
100037,,"我已阅读并同意\n<color=#0066CC><link=""隐私政策"">隐私保护政策</link></color> 和 <color=#0066CC><link=服务条款"">服务条款</link></color>","I have read and agree to the \n<color=#0066CC><link=""隐私政策"">Privacy Policy</link></color> and <color=#0066CC><link=服务条款"">Terms of Service</link></color>","我已閱讀並同意\n<color=#0066CC><link=""隱私政策"">隱私保護政策</link></color> 和 <color=#0066CC><link=服務條款"">服務條款</link></color>","<color=#0066CC><link=""隐私政策"">개인정보 보호 정책</link></color> 및 <color=#0066CC><link=服务条款"">서비스 약관</link></color>을 읽었으며 이에 동의합니다.","<color=#0066CC><link=""隐私政策"">プライバシーポリシー</link></color>および<color=#0066CC><link=服务条款"">利用規約</link></color>の内容を確認の上、同意します。","Ich habe die \n<color=#0066CC><link=""隐私政策"">Datenschutzrichtlinie</link></color> und <color=#0066CC><link=服务条款"">Nutzungsbedingungen</link></color> gelesen und nehme sie an.","J’ai lu et j’accepte la \n<color=#0066CC><link=""隐私政策"">Politique de confidentialité</link></color> et les <color=#0066CC><link=服务条款"">Conditions de service</link></color>","He leído y acepto la \n<color=#0066CC><link=""隐私政策"">Política de privacidad</link></color> y <color=#0066CC><link=服务条款"">Términos del servicio</link></color>","Li e concordo com a \n<color=#0066CC><link=""隐私政策"">Política de Privacidade</link></color> e os <color=#0066CC><link=服务条款"">Termos de Serviço</link></color>","Я прочел(-ла) и принимаю условия \n<color=#0066CC><link=""隐私政策"">Политики конфиденциальности</link></color> и <color=#0066CC><link=服务条款"">Пользовательского соглашения</link></color>","Saya sudah membaca dan menyetujui \n<color=#0066CC><link=""隐私政策"">Kebijakan Privasi</link></color> dan <color=#0066CC><link=服务条款"">Ketentuan Layanan</link></color>","Ho letto e accetto\n<color=#0066CC><link=""隐私政策"">Informativa sulla privacy</link></color> e <color=#0066CC><link=服务条款"">Termini di servizio</link></color>","ฉันได้อ่านและยอมรับ\n<color=#0066CC><link=""隐私政策"">นโยบายความเป็นส่วนตัว</link></color>และ<color=#0066CC><link=服务条款"">เงื่อนไขการให้บริการ</link></color>","Tôi đã đọc và đồng ý với \n<color=#0066CC><link=""隐私政策"">Chính Sách Riêng Tư</link></color> và <color=#0066CC><link=服务条款"">Điều Khoản Dịch Vụ</link></color>","لقد قرأت \n<color=#0066CC><link=""隐私政策"">سياسة الخصوصية</link></color> و<color=#0066CC><link=服务条款"">شروط الخدمة</link></color> وأوافق عليهما","<color=#0066CC><link=""隐私政策"">Kullanım Şartlarını</link></color> ve <color=#0066CC><link=服务条款"">Gizlilik Politikasını</link></color>\nokudum ve kabul ediyorum"
100038,*未勾选条款提示toast,请您勾选同意隐私保护政策和服务条款，以继续绑定。,Please check the box to agree to the Privacy Policy and Terms of Service to continue.,請您勾選同意隱私權保護政策和服務條款，以繼續綁定。,체크 상자에 체크하여 개인 정보 보호 정책 및 서비스 약관에 동의해 주세요.,継続するために、プライバシーポリシーと利用規約に同意するには、ボックスをチェックしてください。,"Bitte hake zum Fortfahren das Kästchen ab, um den Datenschutzrichtlinien und den Nutzungsbedingungen zuzustimmen.",Veuillez cocher la case pour accepter la Politique de confidentialité et les Conditions d'utilisation pour continuer.,Marca la casilla y acepta la Política de privacidad y los Términos de servicio para continuar.,"Para continuar, marque a caixa para concordar com a Política de Privacidade e os Termos de Serviço.","Установите флажок, чтобы согласиться с политикой конфиденциальности и условиями польз. соглашения для продолжения.",Silakan centang kotak untuk menyetujui Kebijakan Privasi dan Ketentuan Layanan untuk melanjutkan.,Controlla la casella per accettare l'Informativa sulla privacy e i Termini di servizio per continuare.,โปรดคลิกที่ช่องเพื่อยอมรับนโยบายความเป็นส่วนตัวและเงื่อนไขการให้บริการเพื่อดำเนินการต่อ,Vui lòng tích chọn hộp kiểm để đồng ý với Chính Sách Riêng Tư và Điều Khoản Dịch Vụ để tiếp tục.,يُرجى وضع علامة في المربع للموافقة على سياسة الخصوصية وشروط الخدمة للمتابعة.,Devam etmek için lütfen Gizlilik Politikasını ve Hizmet Şartlarını kabul et.
100044,*取消邮件订阅二次确认弹窗,确定不再接收 Habby 的最新动态和优惠信息吗？随时欢迎您回来重新订阅。,"After unsubscribing, you might miss out on our latest updates and promotions. Are you sure you want to continue?",確定不再接收 Habby 的最新動態和優惠資訊嗎？隨時歡迎您回來重新訂閱。,구독을 취소하면 Habby 의 최신 소식을 받지 않게 됩니다. 정말 취소하시겠습니까?,購読を解除すると、最新のアップデートやプロモーション情報を受け取れなくなります。本当に続行しますか？,"Wenn du dich abmeldest, verpasst du möglicherweise unsere neuesten Updates und Angebote. Willst du wirklich weitermachen?","Après votre désinscription, vous pourriez manquer nos dernières mises à jour et promotions. Voulez-vous vraiment continuer ?","Después de cancelar la suscripción, podrías perderte nuestras últimas actualizaciones y promociones. ¿Seguro que quieres continuar?","Após cancelar a assinatura, você pode perder nossas últimas atualizações e promoções. Tem certeza de que deseja continuar?","После отмены подписки вы можете пропустить наши последние обновления и рекламные акции. Вы уверены, что хотите продолжить?","Setelah berhenti berlangganan, kamu mungkin melewatkan pembaruan dan promosi terbaru kami. Apakah kamu yakin ingin melanjutkan?","Dopo aver annullato l'iscrizione, potresti perdere i nostri ultimi aggiornamenti e promozioni. Vuoi continuare?",หลังยกเลิกการสมัครสมาชิก คุณอาจพลาดอัปเดตและโปรโมชันล่าสุดของเรา แน่ใจหรือว่าต้องการดำเนินการต่อ?,"Sau khi hủy đăng ký, bạn có thể sẽ bỏ lỡ các bản cập nhật và chương trình khuyến mãi mới nhất của chúng tôi. Bạn có chắc là muốn tiếp tục không?",بعد إلغاء الاشتراك، قد تفوتك آخر تحديثاتنا وعروضنا الترويجية. هل أنت متأكد أنك تريد المتابعة؟,Abonelikten çıktıktan sonra en son güncellemelerimizi ve promosyonlarımızı kaçırabilirsin. Devam etmek istediğine emin misin?
100056,,确认取消,Confirm,確認取消,취소 확정,確認する,Bestätigen,Confirmer,Confirmar,Confirmar,Подтвердить,Konfirmasikan,Conferma,ยืนยัน,Xác nhận,تأكيد,Onayla
100057,,保持订阅,Stay,保持訂閱,구독 유지,滞在する,Bleiben,Rester,Permanecer,Ficar,Остаться,Tinggal,Rimani,อยู่,Ở lại,البقاء,Devam Et
100060,*已有绑定邮箱提示弹窗内容,您输入的邮箱已经绑定过 Habby ID。是否切换到登录页面进行登录？,The email you entered has been bound to a Habby ID. Switch to the login page to log in?,您輸入的郵箱已經綁定過 Habby ID。是否切換到登入頁面進行登入？,입력한 이메일이 Habby ID 에 연동되었습니다. 로그인 화면으로 돌아가 로그인 하시겠습니까?,入力したメールアドレスはすでに Habby ID と連携しています。ログインページに切り替えてログインしますか？,"Die von dir eingegebene E-Mail wurde mit einer Habby ID verbunden. Zur Anmeldeseite wechseln, um dich anzumelden?",L'e-mail que vous avez saisi est lié à un ID Habby. Passer à la page de connexion pour vous connecter ?,El correo electrónico que escribiste ha estado vinculado a una identificación de Habby. ¿Cambiar a la página de inicio de sesión?,O e-mail que você inseriu foi vinculado a uma Habby ID. Acessar a página de login para fazer login?,"Адрес электронной почты, который вы указали, привязан к Habby ID. Перейти на страницу входа, чтобы войти?",Email yang kamu masukkan telah terikat pada ID Habby. Beralih ke halaman login untuk masuk?,L'e-mail che hai inserito è stata associata a un ID Habby. Passare alla pagina di accesso per accedere?,อีเมลที่คุณป้อนนั้นถูกเชื่อมโยงไว้กับ Habby ID สลับไปที่หน้าเข้าสู่ระบบเพื่อเข้าสู่ระบบ?,Email bạn nhập đã được liên kết với ID Habby rồi. Chuyển sang trang đăng nhập để đăng nhập?,تم ربط البريد الإلكتروني الذي أدخلته بمعرّف Habby. هل تريد التبديل إلى صفحة تسجيل الدخول لتسجيل الدخول؟,Girdiğin e -posta bir Habby ID ile bağlandı. Oturum açmak için oturum açma sayfasına geçmek ister misin?
